ID_REF	GSM177105	GSM177106	GSM177107	GSM177108	GSM177109	GSM177110	GSM177111	GSM177112	GSM177113	GSM177114	GSM177118	GSM177115	GSM177116	GSM177117
aadK	108.1582572	82.88275193	1035.419731	619.946539	473.0995571	688.350717	589.7664729	797.8645296	711.1450295	642.2539287	570.862704	530.7909637	480.3692526	570.0718685
aapA	71.70490971	72.70587295	621.6677808	546.4705731	733.1679955	519.8674436	364.5568501	365.8224998	151.4817308	259.5736268	226.5993637	223.3248527	228.1754869	224.4110647
abfA	84.33151691	54.15415018	139.0056776	77.27875786	176.0693527	166.6872563	86.16320443	242.1907576	109.7441327	180.143152	85.21290325	117.7840193	128.0887536	136.5229799
accA	89.26359465	399.4856858	6436.229257	4048.018029	3485.137836	3019.303357	3633.136866	3193.671035	2570.797038	1959.133508	2633.927646	3082.745339	2715.495957	2323.364833
accB	115.2801254	69.5028388	568.0995697	897.6442586	2008.6354	2990.145558	3893.899679	2423.707693	2410.304998	2994.293654	2815.157649	4399.122316	3608.040956	4115.922208
accC	85.15385863	52.74637344	551.4170246	1126.787696	2012.816586	3145.339432	4554.257029	2668.845362	2538.921369	1840.650499	2910.396504	3840.291211	3595.558083	4031.217754
accD	89.5114293	705.7434383	9779.19503	6975.108774	5018.359119	6034.422521	6030.241227	5780.585855	3678.750199	2822.973753	4637.077103	4980.241544	4538.500497	4287.734915
acdA	48.94196089	57.60012351	293.0493851	155.9565138	189.3616012	235.5680386	197.2662037	258.6755703	142.6167873	186.6252005	166.341	178.6509778	170.4258065	202.6715817
ackA	89.69775674	132.2386416	2478.067895	2133.490543	1707.890778	1838.100584	1752.258613	1861.177582	1938.869517	1677.387157	2395.315536	2730.595691	2713.614371	2313.722295
acoA	99.7330662	57.64006271	130.3728815	69.35846188	72.80673458	176.6806212	78.24897777	133.2507645	79.56157881	128.622569	94.94367577	103.3217375	144.8082512	180.268061
acoB	161.1209182	59.30163596	41.55643529	21.94773262	68.73628618	170.4258065	72.55484242	222.3979994	123.6398501	174.7319959	85.62736351	83.51711665	102.1821935	166.8028351
acoC	128.622569	40.78594007	32.89964245	27.41702255	78.62956675	134.0846243	72.85721786	235.5680386	110.7374964	102.1113907	93.70148454	85.50874102	123.3830154	181.2704561
acoL	82.94022179	44.01733818	82.08234258	64.1776919	128.9796813	154.0227873	94.09198953	268.9138033	121.0953788	146.3217069	92.0279381	100.2876399	156.8237225	199.3279209
acoR	37.32317983	38.10741918	131.2796966	84.2146896	135.1108759	135.4860025	92.15560438	205.6432632	120.3422979	152.5353695	95.00950852	90.88687095	115.120424	131.0524033
acpA	109.5161633	217.0675109	1477.558975	2059.388069	3366.421247	5724.761997	8653.091843	5412.20211	7590.609403	5740.656431	3867.002549	5155.869383	3470.673654	4335.552081
acpK	32.20025035	24.847004	118.1110391	77.97825688	95.40546476	136.7123722	43.74359846	145.8154723	139.5849898	90.63522805	120.0091003	62.63946563	51.33959465	183.1649946
acpS	64.89340671	58.12149873	533.5575206	443.5644705	632.9729336	687.3971214	846.8719293	723.074255	874.3093395	815.1942131	779.281091	940.3147902	862.2724645	824.2853249
acsA	172.8048621	54.0416568	267.6121857	116.6465639	133.1584341	180.143152	121.0114709	263.1971396	137.282127	238.0300653	213.0428761	232.969939	227.8593877	402.822372
acuA	179.3955135	133.3431589	509.698395	286.2238338	238.5255499	298.7924741	181.8997815	333.3745125	197.8139007	213.4863472	282.2833057	245.4014563	293.4559195	299.2069756
acuB	64.80350767	54.0791286	276.2824285	165.4211623	122.2762159	156.064652	78.14057681	194.6852804	124.6725464	113.9296939	138.9093596	110.5074635	145.9165789	152.2185107
acuC	103.6804446	54.72013939	368.1117524	183.9283426	138.1412143	248.4824243	187.6629449	280.916976	209.0928617	203.9398646	195.4966397	203.3752064	225.6589204	292.4406392
adaA	47.70273238	36.50443891	137.3773167	76.16202856	74.02804377	112.5950817	58.40419127	195.6321947	97.34264021	99.18155916	78.57508377	66.76406999	88.21792979	95.93597451
adaB	53.00292233	47.50475426	268.1692485	142.2219173	105.7856407	214.9712622	122.1914898	246.4241774	146.3217069	111.6624263	92.8609413	90.50966799	115.0406562	161.5682601
addA	19.06692119	7.185058983	616.0911493	894.5386454	437.7611151	583.2618891	331.0717266	706.232792	394.5324075	291.2269383	280.1391875	111.1219491	241.6876593	143.509258
addB	55.17718688	68.02532316	928.6556968	763.243718	574.8333681	681.703226	675.5880503	672.7841931	592.2243502	326.2875206	325.6097297	289.8173189	322.2418364	302.7535361
adeC	111.8948634	789.064815	6690.971575	4595.480496	4918.490839	6494.487647	6931.731223	4963.011217	2679.96789	5689.160236	5996.895011	5724.761997	4714.862556	5113.161928
adhA	92.53966685	58.85120295	214.4503708	168.0795041	181.5219246	299.8298064	244.5524317	432.3332544	346.3291471	415.0093414	253.0011268	221.168176	236.3858715	300.4539336
adhB	56.88593159	31.55944654	30.67518203	17.80240193	77.87023095	67.69606167	24.57296432	145.9165789	80.22611331	61.6915077	40.58852478	35.4324667	44.17015531	72.05366951
